user_idx,user_id
1204,405538
1205,491596
1206,606744
1207,642062
1208,729647
1209,782830
1210,829945
1211,437620
1212,549712
1213,843848
1214,767180
1215,711333
1216,646399
1217,464854
1218,502979
1219,788276
1220,849204
1221,575578
1222,445138
1223,738914
1224,439003
1225,570487
1226,516454
1227,490675
1228,504304
1229,551344
1230,593283
1231,496319
1232,435559
1233,494025
1234,658645
1235,650694
1236,931292
1237,592845
1238,629651
1239,579380
1240,470476
1241,517035
1242,554119
1243,769067
1244,740668
1245,745587
1246,449954
1247,743888
1248,611550
1249,853910
1250,478620
1251,582495
1252,547395
1253,435600
1254,508284
1255,459161
1256,653066
1257,546485
1258,908845
1259,637646
1260,704603
1261,436905
1262,593290
1263,546825
1264,937049
1265,642442
1266,634336
1267,817406
1268,436906
1269,794352
1270,669312
1271,517223
1272,755002
1273,442966
1274,696286
1275,517766
1276,588190
1277,618798
1278,520886
1279,653074
1280,523478
1281,507699
1282,659045
1283,445832
1284,451135
1285,506779
1286,591211
1287,534165
1288,858154
1289,548801
1290,599495
1291,503087
1292,575025
1293,839562
1294,694892
1295,445234
1296,478649
1297,681075
1298,898346
1299,542335
1300,545113
1301,591421
1302,826407
1303,473345
1304,457425
1305,605693
1306,515663
1307,683126
1308,845963
1309,593692
1310,563898
1311,641169
1312,545983
1313,465816
1314,629682
1315,689145
1316,778400
1317,473343
1318,558484
1319,496368
1320,626806
1321,746761
1322,761448
1323,439033
1324,465838
1325,442864
1326,697994
1327,556706
1328,799579
1329,617204
1330,444061
1331,746209
1332,560863
1333,436447
1334,450051
1335,532611
1336,432066
1337,633948
1338,643356
1339,562685
1340,614206
1341,745198
1342,540507
1343,543674
1344,488557
1345,435702
1346,768652
1347,683863
1348,517245
1349,476597
1350,501543
1351,493593
1352,903789
1353,472311
1354,508950
1355,621417
1356,722850
1357,759692
1358,466922
1359,850535
1360,570177
1361,540517
1362,445300
1363,518427
1364,563346
1365,450078
1366,590861
1367,520948
1368,583647
1369,866226
1370,571782
1371,457434
1372,732173
1373,687844
1374,920883
1375,725076
1376,604010
1377,906841
1378,632759
1379,446820
1380,699217
1381,890458
1382,672736
1383,646148
1384,726356
1385,625314
1386,538595
1387,728029
1388,688794
1389,686887
1390,576296
1391,917942
1392,225680
1393,699767
1394,437831
1395,716363
1396,471614
1397,603021
1398,850555
1399,624908
1400,609943
1401,643659
1402,468058
1403,766986
1404,688200
1405,706376
1406,518470
1407,843032
1408,599212
1409,435868
1410,788229
1411,493632
1412,658187
1413,444345
1414,745798
1415,905261
1416,467007
1417,435816
1418,682350
1419,546056
1420,442999
1421,586401
1422,495676
1423,554929
1424,495193
1425,453682
1426,532695
1427,754745
1428,584059
1429,897125
1430,562159
1431,471642
1432,640758
1433,716572
1434,753587
1435,742447
1436,805388
1437,514176
1438,465961
1439,444324
1440,771972
1441,642249
1442,698459
1443,877607
1444,752320
1445,668138
1446,799344
1447,633572
1448,586431
1449,666071
1450,449014
1451,456876
1452,609803
1453,502413
1454,660326
1455,471652
1456,176471
1457,678774
1458,637760
1459,526324
1460,658729
1461,555705
1462,737052
1463,481900
1464,781412
1465,473564
1466,477961
1467,181090
1468,570276
1469,445475
1470,765469
1471,643447
1472,764724
1473,719605
1474,434442
1475,647376
1476,532737
1477,852307
1478,884920
1479,588912
1480,466015
1481,750770
1482,660334
1483,533888
1484,721116
1485,777129
1486,525279
1487,806246
1488,519455
1489,812780
1490,549954
1491,493733
1492,580199
1493,558617
1494,602498
1495,680544
1496,522033
1497,495261
1498,579009
1499,736874
1500,566975
1501,826848
1502,738347
1503,470784
1504,629332
1505,560565
1506,926424
1507,782683
1508,570318
1509,753412
1510,743572
1511,590284
1512,507968
1513,488759
1514,451490
1515,515041
1516,475822
